"Ticker","SEDOL","Market Value ($mm)"
"1893 JP","6680804","3.62"
"5706 JP","6597346","3.47"
"5831 JP","BP38QJ6","3.48"
"1803 JP","6804400","3.45"
"8002 JP","6569464","3.35"
"9532 JP","6661768","3.25"
"1942 JP","6483586","3.21"
"1801 JP","6870100","3.21"
"1812 JP","6481320","3.17"
"5713 JP","6858849","3.09"
"4506 JP","6250865","3.07"
"POLI IT","6075808","3.03"
"ENR GR","BMTVQK9","3.02"
"TIGO","","3.01"
"8267 JP","6480048","2.99"
"LUMI IT","6076425","2.96"
"3563 JP","BF1HPT8","2.96"
"NN NA","BNG8PQ9","2.87"
"BAYN GR","5069211","2.86"
"HOT GR","5108664","2.85"
"EVN AU","B3X0F91","2.85"
"PST IM","BYYN701","2.83"
"NST AU","6717456","2.81"
"NDA GR","5485527","2.81"
"LYC AU","6121176","2.79"
"RRL AU","6476542","2.75"
"BPE IM","4116099","2.74"
"JUN3 GR","5545670","2.75"
"EDV CN","BN7KJJ5","2.74"
"SAB SM","B1X8QN2","2.72"
"WRT1V FH","4525189","2.70"
"INGA NA","BZ57390","2.67"
"TSEM IT","6320605","2.64"
"RWE GR","4768962","2.63"
"BKT SM","5474008","2.63"
"CABK SM","B283W97","2.62"
"BOL SS","BPYTZ57","2.63"
"LDO IM","B0DJNG0","2.61"
"BCP PL","BZCNN35","2.61"
"ESLT IT","6308913","2.59"
"RMS AU","6586872","2.58"
"VAU AU","BSML1B4","2.57"
"IDR SM","4476210","2.56"
"TKA GR","5636927","2.54"
"CBK GR","B90LKT4","2.54"
"GLE FP","5966516","2.52"
"DBK GR","5750355","2.51"
"SAABB SS","BPXZH27","2.51"
"HOLN SW","7110753","2.46"
"GMD AU","B23G0X1","2.39"
"FGXXX","","0.49"
"Cash&Other","","0.12"
"EUR","CASHEUR","-0.02"